State:Location:Date Posted:Date Collected:Sample Type:Unit:Ba-140:Co-60:Cs-134:Cs-136:Cs-137:I-131:I-132:I-133:Te-129:Te-129m:Te-132
CA:Anaheim:2011-03-30:2011-03-22:Air Filter:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.093:0.042203333333333336:0.002:0.12:0.0955:0.29245
CA:Anaheim:2011-03-30:2011-03-22:Air Filter:pCi/m3:::2.17054:0.006340000000000001:0.0015:0.08:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-03-30:2011-03-21:Air Filter:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.13:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-03-30:2011-03-21:Air Filter:pCi/m3:::0.012:0.006340000000000001:0.017:0.11:0.042203333333333336:0.002:0.12:0.0955:0.01
ID:Boise:2011-03-30:2011-03-22:Air Filter:pCi/m3:::0.0084:0.006340000000000001:0.0096:0.098:0.042203333333333336:0.002:0.12:0.0955:0.0052
CA:Anaheim:2011-04-04:2011-03-23:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.3:0.042203333333333336:0.002:0.12:0.0955:0.29245
CA:Anaheim:2011-04-04:2011-03-23:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:10.436915824915827:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-04:2011-03-21:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.5:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-03-30:2011-03-22:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.66:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-03-30:2011-03-23:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.49:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-04:2011-03-23:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.37:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-04:2011-03-24:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.77:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-04:2011-03-25:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.75:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-04:2011-03-26:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.41:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-08:2011-03-27:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.22:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-08:2011-03-28:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.32:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-08:2011-03-29:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.27:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-10:2011-03-30:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.24:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-10:2011-04-01:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:10.436915824915827:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-10:2011-04-01:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.048:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-10:2011-04-02:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:10.436915824915827:0.042203333333333336:0.002:0.12:0.0955:0.29245
ID:Boise:2011-04-10:2011-04-03:Air Cartridge:pCi/m3:::2.17054:0.006340000000000001:1.7980498387096775:0.055:0.042203333333333336:0.002:0.12:0.0955:0.29245
